chr1	6874	14319	100287102	DDX11L1
chr1	14320	33021	653635	WASH7P
chr1	33022	41080	641702	FAM138F
chr1	64091	74090	79501	OR4F5
chr1	362659	372658	729759	OR4F29
chr1	617034	627033	729759	OR4F29
chr1	757902	762936	79854	LINC00115
chr1	762937	768177	643837	LINC01128
chr1	807182	817181	284593	FAM41C
chr1	855530	866301	148398	SAMD11
chr1	869655	879482	148398	SAMD11
chr1	879483	887439	26155	NOC2L
chr1	888918	895323	26155	NOC2L
chr1	895324	899806	339451	KLHL17
chr1	899807	906876	84069	PLEKHN1
chr1	907021	922472	84808	PERM1
chr1	930552	940551	57801	HES4
chr1	943847	952175	9636	ISG15
chr1	952176	960502	375790	AGRN
chr1	1004687	1014686	401934	RNF223
chr1	1021945	1032553	54991	C1orf159
chr1	1046736	1056735	54991	C1orf159
chr1	1067397	1077396	254099	LINC01342
chr1	1097484	1102863	406984	MIR200B
chr1	1102864	1103814	406983	MIR200A
chr1	1103815	1106835	554210	MIR429
chr1	1106836	1120076	254173	TTLL10
chr1	1136060	1145818	8784	TNFRSF18
chr1	1145819	1153139	7293	TNFRSF4
chr1	1153140	1167538	51150	SDF4
chr1	1167539	1172628	126792	B3GALT6
chr1	1177102	1187101	388581	FAM132A
chr1	1198372	1212525	118424	UBE2J2
chr1	1212526	1222536	6339	SCNN1D
chr1	1229335	1243631	116983	ACAP3
chr1	1243632	1244727	126789	PUSL1
chr1	1244728	1248909	116983	ACAP3
chr1	1248910	1260105	54973	CPSF3L
chr1	1260106	1263434	80772	CPTP
chr1	1263435	1271141	83756	TAS1R3
chr1	1271142	1289203	1855	DVL1
chr1	1289204	1302156	54587	MXRA8
chr1	1305246	1315817	54998	AURKAIP1
chr1	1322029	1338705	81669	CCNL2
chr1	1338706	1347692	55052	MRPL20
chr1	1351824	1359166	441869	ANKRD65
chr1	1359167	1366205	643965	TMEM88B
chr1	1366206	1375902	64856	VWA1
chr1	1380069	1390068	219293	ATAD3C
